conditionId,is_structurally_dead,done_clob_48h
0xa0f1e319760d62a641d09784059608ba9b3c625d0948d1e0ee5efc0207ebdc30,False,True
0x5939abcf78f616e57d2c3b673bdd269c309fd9190eb58e705c8a21888f093c37,False,True
0xa71ba9861bceb7e25b55829559f415d16b8798c28ca0fe1581d9c9c8401445e9,False,True
0xdf6ebb57187ac819b572e04fc5ddf4c5a493b211b51a89b4b25541549fc803f3,False,True
0xd6afab2f8c56edf033e2dd34bd579ca225395d45f1e449469a36b12fc429a98e,False,True
0x29eb47bfaf70409d45c29082e72ce43d8e09194f83a797d52ce214aefb45e3fc,False,True
0xc40ddaffa42ef5bbb6e7babe088ec42338055bc33b4475c99152e94355589edf,False,True
0xe20f5847bcd7a5b1ae9e53ddead0bb076437e0d6837d206f95c628a613f01977,False,True
0x0c8a89afc2405d807009bb1fa602d675934ee669104d11b5416b42611c30c9f1,False,True
0x746b39f65c7fd696098b5172cc76f06e5b49db15c0c406c41c7ec4bedb90bd93,False,True
0x8cb59c153ad2bc9e6ec5f507f7453b68eced8685f79b3f86de45f4a6008e61c7,False,True
0x96f85d522a4cbac4878f9985f6ee4dca02a7277e2863f8d56edc6e7c0fcab1f2,False,True
0x78c993ada4364289a347c11cb5863575fa7450ac622ce22cd91840c391483bc1,False,True
0xbbbe004692a8808595e4d7725cdfa427b54df34db590d6b5aa3c7196350b0534,False,True
0x47164874d2cb3a4a530ada363537e3ab19a2ff6bbd47cec6b9700ffbbef2e53b,False,True
0xcf11f138883221ef9711df9272ac110a751847ff67b8d30064789c11ad8c3f6e,False,True
0xbdb7cd78889551bbb8723dee391892b4eb76d7f931db69cca9274ccf5ef0cbeb,False,True
0xb89128d18201f829c9b5b8f0e7e7cd2a2eb3365fa7b1b88e2e8c5f330dfd3cd6,False,True
0x2a37191ac305b318f56c527d928e9cedf321dfbcb13ebf8b4ce8f912cb65a172,False,True
0xaf87935ac5143229b0762b2f1dc5ac381a6b6dbed7b259f3e8bb2a77b22a79ea,False,True
0x194f86d21942137070b3504b9d8be809fd5df943079bf8f8a3ea5434e31a9fbe,False,True
